Date,y,Friday,Monday,Thursday,Tuesday,Wednesday
2006-11-30,0.0073868812806674455,0,0,1,0,0
2006-12-01,0.06874427227218538,1,0,0,0,0
2006-12-04,-0.036878242778984105,0,1,0,0,0
2006-12-05,0.0035619694708712846,0,0,0,1,0
2006-12-06,0.005323821074119772,0,0,0,0,1
2006-12-07,0.11827009369913344,0,0,1,0,0
2006-12-08,-0.04735598878111691,1,0,0,0,0
2006-12-11,-0.1126760307426049,0,1,0,0,0
2006-12-12,-0.0056022800563014785,0,0,0,1,0
2006-12-13,-0.04413139250603593,0,0,0,0,1
2006-12-14,-0.0206286868223573,0,0,1,0,0
2006-12-15,0.008024064349388071,1,0,0,0,0
2006-12-18,0.05472638609916758,0,1,0,0,0
2006-12-19,-0.028301903767787184,0,0,0,1,0
2006-12-20,-0.0038834913701272233,0,0,0,0,1
2006-12-21,0.026315740552257383,0,0,1,0,0
2006-12-22,0.07882240690920295,1,0,0,0,0
2006-12-26,-0.008802766797323947,0,0,0,1,0
2006-12-27,-0.05506215567996042,0,0,0,0,1
2006-12-28,0.032894682002059916,0,0,1,0,0
2006-12-29,0.051865392208333194,1,0,0,0,0
2007-01-03,0.04152245024332313,0,0,0,0,1
2007-01-04,-0.04401991151581541,0,0,1,0,0
2007-01-05,0.054735021886452184,1,0,0,0,0
2007-01-08,-0.01153215316009093,0,1,0,0,0
2007-01-09,-0.007500012715657589,0,0,0,1,0
2007-01-10,-0.03694370999332186,0,0,0,0,1
2007-01-11,-0.05231040693124156,0,0,1,0,0
2007-01-12,-0.06623737576900413,1,0,0,0,0
2007-01-16,0.05812809603566493,0,0,0,1,0
2007-01-17,-0.013966445225972013,0,0,0,0,1
2007-01-18,0.02455148490420922,0,0,1,0,0
2007-01-19,-0.041474723236691435,1,0,0,0,0
2007-01-22,0.035577005077398915,0,1,0,0,0
2007-01-23,-0.03992574623019729,0,0,0,1,0
2007-01-24,-0.043520290389213456,0,0,0,0,1
2007-01-25,0.13447925960932916,0,0,1,0,0
2007-01-26,-0.008021403783061043,1,0,0,0,0
2007-01-29,0.028751095375913582,0,1,0,0,0
2007-01-30,-0.04279474054852517,0,0,0,1,0
2007-01-31,-0.049270069340649925,0,0,0,0,1
2007-02-01,-0.010556588855263227,0,0,1,0,0
2007-02-02,-0.022308485601322148,1,0,0,0,0
2007-02-05,0.04662701097084998,0,1,0,0,0
2007-02-06,0.009478618577014819,0,0,0,1,0
2007-02-07,-0.030985909439083636,0,0,0,0,1
2007-02-08,0.011627896231359847,0,0,1,0,0
2007-02-09,0.06321847007796477,1,0,0,0,0
2007-02-12,0.04594587907032044,0,1,0,0,0
2007-02-13,-0.10938841874632976,0,0,0,1,0
2007-02-14,-0.010638356743547184,0,0,0,0,1
2007-02-15,-0.0009774463005824963,0,0,1,0,0
2007-02-16,-0.019569452450051816,1,0,0,0,0
2007-02-20,0.021956018293794788,0,0,0,1,0
2007-02-21,-0.003906246362021082,0,0,0,0,1
2007-02-22,-0.0019607357316996366,0,0,1,0,0
2007-02-23,0.03929269219441012,1,0,0,0,0
2007-02-26,0.05387520783880628,0,1,0,0,0
2007-02-27,0.6421524746523621,0,0,0,1,0
2007-02-28,-0.1578372186751833,0,0,0,0,1
2007-03-01,0.025940312357404904,0,0,1,0,0
2007-03-02,0.17635910046446712,1,0,0,0,0
2007-03-05,0.054809162652454724,0,1,0,0,0
2007-03-06,-0.1869586999246874,0,0,0,1,0
2007-03-07,-0.04511279857818873,0,0,0,0,1
2007-03-08,-0.06233594642603035,0,0,1,0,0
2007-03-09,-0.013995787949547478,1,0,0,0,0
2007-03-12,-0.007097259076420892,0,1,0,0,0
2007-03-13,0.2959256224003173,0,0,0,1,0
2007-03-14,-0.047435120949369414,0,0,0,0,1
2007-03-15,-0.048639266376525825,0,0,1,0,0
2007-03-16,0.021911174903518127,1,0,0,0,0
2007-03-19,-0.1310304135186139,0,1,0,0,0
2007-03-20,-0.09047290479911918,0,0,0,1,0
2007-03-21,-0.08138664959491482,0,0,0,0,1
2007-03-22,0.060705557856074455,0,0,1,0,0
2007-03-23,0.0015467520199012874,1,0,0,0,0
2007-03-26,0.016216219400770004,0,1,0,0,0
2007-03-27,0.02431608651478423,0,0,0,1,0
2007-03-28,0.1112759681704818,0,0,0,0,1
2007-03-29,0.010680961680626266,0,0,1,0,0
2007-03-30,-0.033025098326402436,1,0,0,0,0
2007-04-02,-0.007513702716662407,0,1,0,0,0
2007-04-03,-0.0736407236399459,0,0,0,1,0
2007-04-04,-0.01634474490381177,0,0,0,0,1
2007-04-05,-0.0007553043092681788,0,0,1,0,0
2007-04-09,-0.006802660773060132,0,1,0,0,0
2007-04-10,-0.03500761233851313,0,0,0,1,0
2007-04-11,0.0638800825274235,0,0,0,0,1
2007-04-12,-0.05782058904412701,0,0,1,0,0
2007-04-13,-0.040125903017400044,1,0,0,0,0
2007-04-16,-0.01803280905477822,0,1,0,0,0
2007-04-17,0.013355660033402383,0,0,0,1,0
2007-04-18,0.023064227763815337,0,0,0,0,1
2007-04-19,0.009661826475196644,0,0,1,0,0
2007-04-20,-0.0374800852040319,1,0,0,0,0
2007-04-23,0.08036456433754169,0,1,0,0,0
2007-04-24,0.006134963492337775,0,0,0,1,0
2007-04-25,0.006859767787570803,0,0,0,0,1
2007-04-26,-0.03179410106594216,0,0,1,0,0
2007-04-27,-0.026583280187799985,1,0,0,0,0
2007-04-30,0.14216871364499606,0,1,0,0,0
2007-05-01,-0.0499296782569838,0,0,0,1,0
2007-05-02,-0.03182829740124815,0,0,0,0,1
2007-05-03,0.0007645434969545395,0,0,1,0,0
2007-05-04,-0.013750978080790621,1,0,0,0,0
2007-05-07,0.01859022261462484,0,1,0,0,0
2007-05-08,0.004562769684962609,0,0,0,1,0
2007-05-09,-0.024981069095617148,0,0,0,0,1
2007-05-10,0.05590064135337647,0,0,1,0,0
2007-05-11,-0.04779415838033574,1,0,0,0,0
2007-05-14,0.07799229681526532,0,1,0,0,0
2007-05-15,0.0035816755442861226,0,0,0,1,0
2007-05-16,-0.036402585335470805,0,0,0,0,1
2007-05-17,0.0007407576949507444,0,0,1,0,0
2007-05-18,-0.05551443281226909,1,0,0,0,0
2007-05-21,0.042319745467618075,0,1,0,0,0
2007-05-22,-0.018045095314010218,0,0,0,1,0
2007-05-23,0.013782492015168568,0,0,0,0,1
2007-05-24,0.06344412138286226,0,0,1,0,0
2007-05-25,-0.05255680221079051,1,0,0,0,0
2007-05-29,0.014242846942279952,0,0,0,1,0
2007-05-30,-0.05173686792907395,0,0,0,0,1
2007-05-31,0.017147331904680208,0,0,1,0,0
2007-06-01,-0.02068968994769549,1,0,0,0,0
2007-06-04,0.03990612202957111,0,1,0,0,0
2007-06-05,0.025583156776810334,0,0,0,1,0
2007-06-06,0.09097577114503408,0,0,0,0,1
2007-06-07,0.14727636834147573,0,0,1,0,0
2007-06-08,-0.13012892044846625,1,0,0,0,0
2007-06-11,-0.008760115438290472,0,1,0,0,0
2007-06-12,0.13324269429396107,0,0,0,1,0
2007-06-13,-0.11637675615949461,0,0,0,0,1
2007-06-14,-0.0739985901417135,0,0,1,0,0
2007-06-15,0.021994078409785844,1,0,0,0,0
2007-06-18,-0.03730269151665622,0,1,0,0,0
2007-06-19,-0.04247389654126066,0,0,0,1,0
2007-06-20,0.14163421329144388,0,0,0,0,1
2007-06-21,-0.03135651232138115,0,0,1,0,0
2007-06-22,0.10837438126100452,1,0,0,0,0
2007-06-25,0.05714283292255695,0,1,0,0,0
2007-06-26,0.13453452387021092,0,0,0,1,0
2007-06-27,-0.1778718774611765,0,0,0,0,1
2007-06-28,0.0006439297523364029,0,0,1,0,0
2007-06-29,0.04440151750817778,1,0,0,0,0
2007-07-02,-0.05113986119014324,0,1,0,0,0
2007-07-03,-0.031168802215992386,0,0,0,1,0
2007-07-05,0.03753347607766799,0,0,1,0,0
2007-07-06,-0.04909556186574182,1,0,0,0,0
2007-07-09,0.02989127529901281,0,1,0,0,0
2007-07-10,0.15897096778820274,0,0,0,1,0
2007-07-11,-0.0529311509009156,0,0,0,0,1
2007-07-12,-0.06610573726821811,0,0,1,0,0
2007-07-13,-0.025096547250972434,1,0,0,0,0
2007-07-16,0.029042940273044104,0,1,0,0,0
2007-07-17,0.0025657448018938656,0,0,0,1,0
2007-07-18,0.023672417328854056,0,0,0,0,1
2007-07-19,-0.04812502861022949,0,0,1,0,0
2007-07-20,0.11293508026268562,1,0,0,0,0
2007-07-23,-0.008259663167872966,0,1,0,0,0
2007-07-24,0.10350980525867715,0,0,0,1,0
2007-07-25,-0.024258699412330942,0,0,0,0,1
2007-07-26,0.14585631679605893,0,0,1,0,0
2007-07-27,0.1653809230004084,1,0,0,0,0
2007-07-30,-0.1365328600183664,0,1,0,0,0
2007-07-31,0.1269764979380621,0,0,0,1,0
2007-08-01,0.00637753467733293,0,0,0,0,1
2007-08-02,-0.10350658027218118,0,0,1,0,0
2007-08-03,0.1856739237299614,1,0,0,0,0
2007-08-06,-0.08823526736161069,0,1,0,0,0
2007-08-07,-0.06015697628543781,0,0,0,1,0
2007-08-08,-0.005101980785142901,0,0,0,0,1
2007-08-09,0.2344987692488818,0,0,1,0,0
2007-08-10,0.06873110748817313,1,0,0,0,0
2007-08-13,-0.061130727522097916,0,1,0,0,0
2007-08-14,0.04177646304481475,0,0,0,1,0
2007-08-15,0.10802022175408266,0,0,0,0,1
2007-08-16,0.0052168192701043115,0,0,1,0,0
2007-08-17,-0.02724619379392179,1,0,0,0,0
2007-08-20,-0.1220406760701902,0,1,0,0,0
2007-08-21,-0.04101784758205351,0,0,0,1,0
2007-08-22,-0.09346537070699257,0,0,0,0,1
2007-08-23,-0.01179548089184923,0,0,1,0,0
2007-08-24,-0.08399652764748966,1,0,0,0,0
2007-08-27,0.09652509972386714,0,1,0,0,0
2007-08-28,0.1575704239393081,0,0,0,1,0
2007-08-29,-0.09467680012740798,0,0,0,0,1
2007-08-30,0.05249895119854964,0,0,1,0,0
2007-08-31,-0.06703911975173715,1,0,0,0,0
2007-09-04,-0.025662895451593393,0,0,0,1,0
2007-09-05,0.07901664542599307,0,0,0,0,1
2007-09-06,-0.0240032609609111,0,0,1,0,0
2007-09-07,0.09337222978279991,1,0,0,0,0
2007-09-10,0.04384291416698316,0,1,0,0,0
2007-09-11,-0.07706350502838555,0,0,0,1,0
2007-09-12,-0.012267565004961178,0,0,0,0,1
2007-09-13,-0.00801277495700059,0,0,1,0,0
2007-09-14,0.006462029318783147,1,0,0,0,0
2007-09-17,0.06260029940474965,0,1,0,0,0
2007-09-18,-0.23149544058673732,0,0,0,1,0
2007-09-19,-0.015724800433694508,0,0,0,0,1
2007-09-20,0.020968550269395037,0,0,1,0,0
2007-09-21,-0.07090468013904527,1,0,0,0,0
2007-09-24,0.019473728380705158,0,1,0,0,0
2007-09-25,-0.039752216024898535,0,0,0,1,0
2007-09-26,-0.05215060219404566,0,0,0,0,1
2007-09-27,-0.035734497490424566,0,0,1,0,0
2007-09-28,0.05882352941176472,1,0,0,0,0
2007-10-01,-0.008888880411783817,0,1,0,0,0
2007-10-02,0.03643495588401002,0,0,0,1,0
2007-10-03,0.01676579068576345,0,0,0,0,1
2007-10-04,-0.01914886795810411,0,0,1,0,0
2007-10-05,-0.08297183526755791,1,0,0,0,0
2007-10-08,0.032525088233204213,0,1,0,0,0
2007-10-09,-0.0767467534652353,0,0,0,1,0
2007-10-10,0.034119057594708124,0,0,0,0,1
2007-10-11,0.13257342977553122,0,0,1,0,0
2007-10-12,-0.06091099945173828,1,0,0,0,0
2007-10-15,0.08573042848324586,0,1,0,0,0
2007-10-16,0.04000002377993095,0,0,0,1,0
2007-10-17,-0.07392604937041303,0,0,0,0,1
2007-10-18,-0.002157546577780556,0,0,1,0,0
2007-10-19,0.24108103159311645,1,0,0,0,0
2007-10-22,-0.057491278199436224,0,1,0,0,0
2007-10-23,-0.05683916714085968,0,0,0,1,0
2007-10-24,0.019108250493097723,0,0,0,0,1
2007-10-25,0.017788502538699458,0,0,1,0,0
2007-10-26,-0.07605104414498476,1,0,0,0,0
2007-10-29,0.015848741398525323,0,1,0,0,0
2007-10-30,0.06039249143972936,0,0,0,1,0
2007-10-31,-0.12055050047308036,0,0,0,0,1
2007-11-01,0.252563314862692,0,0,1,0,0
2007-11-02,-0.008616926474788955,1,0,0,0,0
2007-11-05,0.056497141422398034,0,1,0,0,0
2007-11-06,-0.12011518471585247,0,0,0,1,0
2007-11-07,0.23842919714798305,0,0,0,0,1
2007-11-08,-0.01245752837136116,0,0,1,0,0
2007-11-09,0.0894495476390218,1,0,0,0,0
2007-11-12,0.09087719833641716,0,1,0,0,0
2007-11-13,-0.2248311269479465,0,0,0,1,0
2007-11-14,0.07634855284079789,0,0,0,0,1
2007-11-15,0.08172701959282302,0,0,1,0,0
2007-11-16,-0.09158944204341612,1,0,0,0,0
2007-11-19,0.020400175066022097,0,1,0,0,0
2007-11-20,-0.0434448695952131,0,0,0,1,0
2007-11-21,0.07877817756971739,0,0,0,0,1
2007-11-23,-0.045827106380166405,1,0,0,0,0
2007-11-26,0.12885588279629667,0,1,0,0,0
2007-11-27,-0.09097195346412379,0,0,0,1,0
2007-11-28,-0.08257229907138686,0,0,0,0,1
2007-11-29,-0.005806772851634112,0,0,1,0,0
2007-11-30,-0.04589063436093832,1,0,0,0,0
2007-12-03,0.03235678810508391,0,1,0,0,0
2007-12-04,0.0076239009115850465,0,0,0,1,0
2007-12-05,-0.052963437595307306,0,0,0,0,1
2007-12-06,-0.06968493361402595,0,0,1,0,0
2007-12-07,-0.005248029952654831,1,0,0,0,0
2007-12-10,-0.005275808553429351,0,1,0,0,0
2007-12-11,0.13741564189593403,0,0,0,1,0
2007-12-12,-0.04747778007583148,0,0,0,0,1
2007-12-13,0.004005347367073586,0,0,1,0,0
2007-12-14,0.03147167591440492,1,0,0,0,0
2007-12-17,0.05371723143146556,0,1,0,0,0
2007-12-18,-0.07667214653415622,0,0,0,1,0
2007-12-19,-0.042402787559773114,0,0,0,0,1
2007-12-20,-0.05073802426133356,0,0,1,0,0
2007-12-21,-0.10252675501330089,1,0,0,0,0
2007-12-24,0.0070384988060741005,0,1,0,0,0
2007-12-26,0.0032257776726798415,0,0,0,0,1
2007-12-27,0.0857449300403732,0,0,1,0,0
2007-12-28,0.0236919810865579,1,0,0,0,0
2007-12-31,0.08486018554989339,0,1,0,0,0
2008-01-02,0.029777781168619732,0,0,0,0,1
2008-01-03,-0.029348308283844715,0,0,1,0,0
2008-01-04,0.06447313373482366,1,0,0,0,0
2008-01-07,-0.006265648086217879,0,1,0,0,0
2008-01-08,0.06893649964418613,0,0,0,1,0
2008-01-09,-0.05151393827060857,0,0,0,0,1
2008-01-10,-0.02777777997437414,0,0,1,0,0
2008-01-11,0.009808082505473603,1,0,0,0,0
2008-01-14,-0.03293921776153952,0,1,0,0,0
2008-01-15,0.019213997440487907,0,0,0,1,0
2008-01-16,0.04455865472920317,0,0,0,0,1
2008-01-17,0.16735028975192812,0,0,1,0,0
2008-01-18,-0.04497536263081692,1,0,0,0,0
2008-01-22,0.14091243122527564,0,0,0,1,0
2008-01-23,-0.06417283961400089,0,0,0,0,1
2008-01-24,-0.04272914374770209,0,0,1,0,0
2008-01-25,0.04679622767919822,1,0,0,0,0
2008-01-28,-0.04470423798044054,0,1,0,0,0
2008-01-29,-0.01655871059939973,0,0,0,1,0
2008-01-30,0.010981008336761189,0,0,0,0,1
2008-01-31,-0.0514120214752809,0,0,1,0,0
2008-02-01,-0.08320611609521189,1,0,0,0,0
2008-02-04,0.08201495736099185,0,1,0,0,0
2008-02-05,0.08657175913100046,0,0,0,1,0
2008-02-06,0.025849842356688635,0,0,0,0,1
2008-02-07,-0.045219174904795545,0,0,1,0,0
2008-02-08,0.012653665343475229,1,0,0,0,0
2008-02-11,-0.01463762385083267,0,1,0,0,0
2008-02-12,-0.046014508703280055,0,0,0,1,0
2008-02-13,-0.05507029119411255,0,0,0,0,1
2008-02-14,0.026527402613481632,0,0,1,0,0
2008-02-15,-0.020360236457451775,1,0,0,0,0
2008-02-19,0.022781761966249148,0,0,0,1,0
2008-02-20,-0.046502560647201596,0,0,0,0,1
2008-02-21,0.02950824721146006,0,0,1,0,0
2008-02-22,-0.04219750548875234,1,0,0,0,0
2008-02-25,-0.042809592774715854,0,1,0,0,0
2008-02-26,-0.04906648000104019,0,0,0,1,0
2008-02-27,0.036073101793979045,0,0,0,0,1
2008-02-28,0.037020719824446546,0,0,1,0,0
2008-02-29,0.1279218079492095,1,0,0,0,0
2008-03-03,-0.009796541820378035,0,1,0,0,0
2008-03-04,-0.02891933824294146,0,0,0,1,0
2008-03-05,-0.036050159082738675,0,0,0,0,1
2008-03-06,0.11991865080672715,0,0,1,0,0
2008-03-07,-0.002177839114480662,1,0,0,0,0
2008-03-10,0.0687522519237751,0,1,0,0,0
2008-03-11,-0.102790967892466,0,0,0,1,0
2008-03-12,0.032625139722690655,0,0,0,0,1
2008-03-13,0.0025716974261094094,0,0,1,0,0
2008-03-14,0.14181014298474537,1,0,0,0,0
2008-03-17,0.034659879215127365,0,1,0,0,0
2008-03-18,-0.20006204798827387,0,0,0,1,0
2008-03-19,0.1570375763198275,0,0,0,0,1
2008-03-20,-0.1079088236222826,0,0,1,0,0
2008-03-24,-0.03343355630873457,0,1,0,0,0
2008-03-25,-0.00038866028215123194,0,0,0,1,0
2008-03-26,0.013996913684388712,0,0,0,0,1
2008-03-27,-0.0076687409326891,0,0,1,0,0
2008-03-28,-0.006568782140907503,1,0,0,0,0
2008-03-31,-0.0038894779339563312,0,1,0,0,0
2008-04-01,-0.11440844339501788,0,0,0,1,0
2008-04-02,0.03306878262381874,0,0,0,0,1
2008-04-03,-0.009389723339206513,0,0,1,0,0
2008-04-04,-0.032744435653236925,1,0,0,0,0
