Date,neural network output
2008-05-14,0.07956743
2008-05-15,0.04956156
2008-05-16,0.05022776
2008-05-19,0.9337576
2008-05-20,0.4793772
2008-05-21,0.2666201
2008-05-22,0.089096725
2008-05-23,0.98474765
2008-05-27,0.31633854
2008-05-28,0.082624406
2008-05-29,0.18064779
2008-05-30,0.013448119
2008-06-02,0.9987793
2008-06-03,0.09436214
2008-06-04,0.015310168
2008-06-05,0.0072003007
2008-06-06,0.996025
2008-06-09,0.015080571
2008-06-10,0.0003822446
2008-06-11,0.5518041
2008-06-12,0.13025796
2008-06-13,0.009631544
2008-06-16,0.0328061
2008-06-17,0.027038813
2008-06-18,0.1705113
2008-06-19,0.09129679
2008-06-20,0.9999949
2008-06-23,0.011115998
2008-06-24,0.116466016
2008-06-25,0.2874408
2008-06-26,0.99930596
2008-06-27,0.028832406
2008-06-30,0.015296727
2008-07-02,0.53826594
2008-07-03,0.03798616
2008-07-07,0.9353751
2008-07-08,0.2763275
2008-07-09,0.95908606
2008-07-10,0.04828319
2008-07-11,0.96463454
2008-07-14,0.81516564
2008-07-15,0.06534764
2008-07-16,0.057085097
2008-07-17,0.00045743585
2008-07-18,0.0008959174
2008-07-21,0.012690812
2008-07-22,0.016449183
2008-07-23,0.0022852123
2008-07-24,0.9245653
2008-07-25,0.020180285
2008-07-28,0.97884524
2008-07-29,0.062384307
2008-07-30,8.1474675e-05
2008-07-31,0.99995214
2008-08-08,0.011380196
2008-08-26,0.04446113
2008-08-27,0.13190114
2008-08-28,0.021846712
2008-08-29,0.9988626
2008-09-02,0.993931
2008-09-03,0.031272262
2008-09-04,0.8659693
2008-09-05,0.015770137
2008-09-08,0.41621968
2008-09-09,0.95207757
2008-09-10,0.026085883
2008-09-11,0.14897946
2008-09-12,0.9999983
2008-09-15,0.99970317
2008-09-16,0.00017753243
2008-09-17,0.7049595
2008-09-18,2.5348272e-09
2008-09-19,0.07951364
2008-09-22,1.0
2008-09-23,0.55749345
2008-09-24,0.55749345
2008-09-25,0.55749345
2008-09-26,0.82273513
2008-09-29,0.55749345
2008-09-30,0.00026777387
2008-10-01,0.039581895
2008-10-02,0.89187044
2008-10-03,0.01621741
2008-10-06,0.7029036
2008-10-07,0.55749345
2008-10-08,0.55749345
2008-10-09,0.6125169
2008-10-10,0.55749345
2008-10-13,4.1246452e-07
2008-10-14,5.8619656e-17
2008-10-15,0.55749345
2008-10-16,3.5401263e-05
2008-10-17,0.55749345
2008-10-20,0.55749345
2008-10-21,0.10563588
2008-10-22,0.55749345
2008-10-23,0.1152502
2008-10-24,0.8468409
2008-10-27,0.55749345
2008-10-28,0.55749345
2008-10-29,1.0
2008-10-30,0.043336302
2008-10-31,0.00021991134
2008-11-03,0.55749345
2008-11-04,0.11701849
2008-11-05,0.85150135
2008-11-06,0.55749345
2008-11-07,0.55749345
2008-11-10,0.55749345
2008-11-11,0.00670743
2008-11-12,0.55749345
2008-11-13,0.55749345
2008-11-14,1.0
2008-11-17,0.55749345
2008-11-18,0.3937554
2008-11-19,0.5560806
2008-11-20,0.55749345
2008-11-21,0.55749345
2008-11-24,0.00029748678
