Date,spy
2005-01-03,86.57467651367188
2005-01-04,85.51679229736328
2005-01-05,84.92669677734375
2005-01-06,85.35845947265625
2005-01-07,85.23613739013672
2005-01-10,85.63912963867188
2005-01-11,85.04901885986328
2005-01-12,85.3296890258789
2005-01-13,84.6460189819336
2005-01-14,85.09219360351562
2005-01-18,85.97737884521484
2005-01-19,85.07784271240234
2005-01-20,84.55967712402344
2005-01-21,84.04149627685547
2005-01-24,83.87600708007812
2005-01-25,84.1135025024414
2005-01-26,84.36534881591797
2005-01-27,84.50929260253906
2005-01-28,84.50929260253906
2005-01-31,85.03462219238281
2005-02-01,85.57438659667969
2005-02-02,85.83343505859375
2005-02-03,85.6103744506836
2005-02-04,86.52433776855469
2005-02-07,86.40916442871094
2005-02-08,86.50991821289062
2005-02-09,85.86222839355469
2005-02-10,86.17169189453125
2005-02-11,86.91294860839844
2005-02-14,86.84812927246094
2005-02-15,87.17200469970703
2005-02-16,87.22959899902344
2005-02-17,86.52433776855469
2005-02-18,86.63948822021484
2005-02-22,85.35127258300781
2005-02-23,85.96299743652344
2005-02-24,86.53153991699219
2005-02-25,87.38792419433594
2005-02-28,86.81221771240234
2005-03-01,87.24397277832031
2005-03-02,87.20082092285156
2005-03-03,87.23680114746094
2005-03-04,88.3234634399414
2005-03-07,88.36665344238281
2005-03-08,88.03558349609375
2005-03-09,87.05686950683594
2005-03-10,87.25118255615234
2005-03-11,86.63948822021484
2005-03-14,87.17920684814453
2005-03-15,86.45954895019531
2005-03-16,85.72549438476562
2005-03-17,85.89818572998047
2005-03-18,85.64318084716797
2005-03-21,85.32528686523438
2005-03-22,84.45832824707031
2005-03-23,84.53055572509766
2005-03-24,84.63172149658203
2005-03-28,84.75452423095703
2005-03-29,84.19099426269531
2005-03-30,85.38308715820312
2005-03-31,85.22415161132812
2005-04-01,84.84120178222656
2005-04-04,84.9857177734375
2005-04-05,85.39030456542969
2005-04-06,85.68655395507812
2005-04-07,86.14891815185547
2005-04-08,85.2530517578125
2005-04-11,85.31806945800781
2005-04-12,85.7587890625
2005-04-13,84.74730682373047
2005-04-14,83.64188385009766
2005-04-15,82.47149658203125
2005-04-18,82.72431945800781
2005-04-19,83.3818130493164
2005-04-20,82.2186279296875
2005-04-21,83.8152847290039
2005-04-22,83.49742126464844
2005-04-25,84.04647827148438
2005-04-26,83.23007202148438
2005-04-27,83.55518341064453
2005-04-28,82.50759887695312
2005-04-29,83.62744903564453
2005-05-02,84.09709167480469
2005-05-03,84.24156951904297
2005-05-04,84.89180755615234
2005-05-05,84.8629150390625
2005-05-06,84.59556579589844
2005-05-09,85.12299346923828
2005-05-10,84.24156951904297
2005-05-11,84.70392608642578
2005-05-12,83.77194213867188
2005-05-13,83.60575866699219
2005-05-16,84.38604736328125
2005-05-17,84.94960021972656
2005-05-18,85.82379913330078
2005-05-19,86.18504333496094
2005-05-20,86.06221008300781
2005-05-23,86.5390396118164
2005-05-24,86.3367691040039
2005-05-25,86.2717514038086
2005-05-26,86.7341537475586
2005-05-27,86.87863159179688
2005-05-31,86.32229614257812
2005-06-01,87.05924987792969
2005-06-02,87.24707794189453
2005-06-03,86.80638885498047
2005-06-06,86.72693634033203
2005-06-07,86.79192352294922
2005-06-08,86.63298034667969
2005-06-09,87.04480743408203
2005-06-10,86.84252166748047
2005-06-13,87.1170425415039
2005-06-14,87.3193359375
2005-06-15,87.48550415039062
2005-06-16,87.70948791503906
2005-06-17,88.03445434570312
2005-06-20,88.0634994506836
2005-06-21,88.11427307128906
2005-06-22,88.18682098388672
2005-06-23,86.94637298583984
2005-06-24,86.30802917480469
2005-06-27,86.43132019042969
2005-06-28,87.15675354003906
2005-06-29,86.92463684082031
2005-06-30,86.4531021118164
2005-07-01,86.70700073242188
2005-07-05,87.40338134765625
2005-07-06,86.6706771850586
2005-07-07,87.01162719726562
2005-07-08,88.00545501708984
2005-07-11,88.45515441894531
2005-07-12,88.68730926513672
2005-07-13,88.8106689453125
2005-07-14,89.15884399414062
2005-07-15,89.1080322265625
2005-07-18,88.75262451171875
2005-07-19,89.23861694335938
2005-07-20,89.54328918457031
2005-07-21,89.02101135253906
2005-07-22,89.61585998535156
2005-07-25,89.3619613647461
2005-07-26,89.47074890136719
2005-07-27,89.79718780517578
2005-07-28,90.36299896240234
2005-07-29,89.76091766357422
2005-08-01,89.69561767578125
2005-08-02,90.23242950439453
2005-08-03,90.4718017578125
2005-08-04,89.74640655517578
2005-08-05,89.1370849609375
2005-08-08,88.97021484375
2005-08-09,89.50699615478516
2005-08-10,89.4634780883789
2005-08-11,89.8189468383789
2005-08-12,89.26763153076172
2005-08-15,89.8189468383789
2005-08-16,88.65107727050781
2005-08-17,88.643798828125
2005-08-18,88.63652801513672
2005-08-19,88.83964538574219
2005-08-22,88.83964538574219
2005-08-23,88.67279815673828
2005-08-24,87.8821029663086
2005-08-25,88.20130157470703
2005-08-26,87.59921264648438
2005-08-29,88.27385711669922
2005-08-30,87.80960083007812
2005-08-31,88.9194564819336
2005-09-01,88.8541488647461
2005-09-02,88.69456481933594
2005-09-06,89.73190307617188
2005-09-07,89.88424682617188
2005-09-08,89.58682250976562
2005-09-09,90.38477325439453
2005-09-12,90.20339965820312
2005-09-13,89.70289611816406
2005-09-14,89.3764419555664
2005-09-15,89.33293151855469
2005-09-16,89.96817779541016
2005-09-19,89.66950988769531
2005-09-20,88.9118423461914
2005-09-21,88.08140563964844
2005-09-22,88.39462280273438
2005-09-23,88.4675064086914
2005-09-26,88.56947326660156
2005-09-27,88.5476303100586
